Mese-Anno;Data;mm
dic-02;16;0,0
dic-02;17;0,0
dic-02;18;0,0
dic-02;19;0,0
dic-02;20;0,0
dic-02;21;0,0
dic-02;22;0,0
dic-02;23;0,0
dic-02;24;0,0
dic-02;25;0,0
dic-02;26;1,4
dic-02;27;0,0
dic-02;28;0,0
dic-02;29;0,0
dic-02;30;0,0
dic-02;31;0,0
gen-03;1;0,0
gen-03;2;0,0
gen-03;3;0,0
gen-03;4;
gen-03;5;
gen-03;6;
gen-03;7;0,0
gen-03;8;0,0
gen-03;9;0,0
gen-03;10;0,0
gen-03;11;20,0
gen-03;12;25,8
gen-03;13;16,4
gen-03;14;0,0
gen-03;15;0,2
gen-03;16;0,0
gen-03;17;10,6
gen-03;18;0,6
gen-03;19;0,0
gen-03;20;0,2
gen-03;21;0,0
gen-03;22;0,2
gen-03;23;4,2
gen-03;24;0,0
gen-03;25;16,0
gen-03;26;32,1
gen-03;27;0,0
gen-03;28;0,0
gen-03;29;0,0
gen-03;30;0,0
gen-03;31;1,2
feb-03;1;3,2
feb-03;2;0,0
feb-03;3;0,0
feb-03;4;0,2
feb-03;5;0,8
feb-03;6;0,0
feb-03;7;0,0
feb-03;8;0,0
feb-03;9;0,0
feb-03;10;9,8
feb-03;11;0,0
feb-03;12;0,0
feb-03;13;0,0
feb-03;14;14,4
feb-03;15;0,6
feb-03;16;0,0
feb-03;17;0,2
feb-03;18;26,4
feb-03;19;0,0
feb-03;20;0,0
feb-03;21;4,8
feb-03;22;12,6
feb-03;23;19,2
feb-03;24;2,0
feb-03;25;0,0
feb-03;26;0,0
feb-03;27;3,8
feb-03;28;0,8
mar-03;1;0,0
mar-03;2;0,0
mar-03;3;2,8
mar-03;4;0,0
mar-03;5;0,0
mar-03;6;0,0
mar-03;7;0,8
mar-03;8;0,0
mar-03;9;0,0
mar-03;10;0,0
mar-03;11;
mar-03;12;0,0
mar-03;13;0,0
mar-03;14;0,0
mar-03;15;18,8
mar-03;16;12,6
mar-03;17;1,0
mar-03;18;0,0
mar-03;19;0,0
mar-03;20;0,0
mar-03;21;0,0
mar-03;22;0,0
mar-03;23;0,4
mar-03;24;0,0
mar-03;25;0,0
mar-03;26;0,0
mar-03;27;0,0
mar-03;28;0,0
mar-03;29;0,0
mar-03;30;0,0
mar-03;31;4,0
apr-03;1;0,2
apr-03;2;3,2
apr-03;3;0,0
apr-03;4;27,2
apr-03;5;0,0
apr-03;6;0,0
apr-03;7;7,2
apr-03;8;1,8
apr-03;9;4,0
apr-03;10;0,0
apr-03;11;0,0
apr-03;12;0,0
apr-03;13;0,0
apr-03;14;0,0
apr-03;15;0,0
apr-03;16;0,0
apr-03;17;48,2
apr-03;18;2,8
apr-03;19;0,0
apr-03;20;0,0
apr-03;21;0,0
apr-03;22;0,0
apr-03;23;0,0
apr-03;24;0,0
apr-03;25;0,0
apr-03;26;0,0
apr-03;27;0,0
apr-03;28;0,0
apr-03;29;0,0
apr-03;30;0,0
mag-03;1;0,0
mag-03;2;0,0
mag-03;3;0,0
mag-03;4;0,0
mag-03;5;0,0
mag-03;6;0,0
mag-03;7;0,0
mag-03;8;0,0
mag-03;9;0,0
mag-03;10;0,0
mag-03;11;
mag-03;12;
mag-03;13;0,0
mag-03;14;0,0
mag-03;15;0,0
mag-03;16;0,0
mag-03;17;0,0
mag-03;18;0,0
mag-03;19;0,2
mag-03;20;0,0
mag-03;21;0,0
mag-03;22;0,0
mag-03;23;0,0
mag-03;24;0,0
mag-03;25;0,0
mag-03;26;0,0
mag-03;27;0,8
mag-03;28;0,0
mag-03;29;0,0
mag-03;30;0,0
mag-03;31;0,0
giu-03;1;0,0
giu-03;2;0,0
giu-03;3;0,0
giu-03;4;0,0
giu-03;5;0,0
giu-03;6;0,0
giu-03;7;0,0
giu-03;8;0,0
giu-03;9;0,0
giu-03;10;0,0
giu-03;11;0,0
giu-03;12;0,0
giu-03;13;0,0
giu-03;14;0,0
giu-03;15;0,0
giu-03;16;0,0
giu-03;17;0,0
giu-03;18;0,0
giu-03;19;0,6
giu-03;20;0,2
giu-03;21;0,0
giu-03;22;0,0
giu-03;23;0,0
giu-03;24;0,0
giu-03;25;0,0
giu-03;26;0,0
giu-03;27;0,0
giu-03;28;0,0
giu-03;29;0,0
giu-03;30;0,0
lug-03;1;0,0
lug-03;2;0,0
lug-03;3;0,0
lug-03;4;0,0
lug-03;5;0,0
lug-03;6;0,0
lug-03;7;0,0
lug-03;8;0,0
lug-03;9;0,0
lug-03;10;0,0
lug-03;11;0,0
lug-03;12;0,0
lug-03;13;0,0
lug-03;14;0,0
lug-03;15;0,0
lug-03;16;0,0
lug-03;17;0,0
lug-03;18;0,0
lug-03;19;0,0
lug-03;20;0,0
lug-03;21;0,0
lug-03;22;0,0
lug-03;23;0,0
lug-03;24;0,0
lug-03;25;0,0
lug-03;26;0,0
lug-03;27;0,0
lug-03;28;0,0
lug-03;29;0,0
lug-03;30;0,0
lug-03;31;0,0
ago-03;1;0,2
ago-03;2;1,4
ago-03;3;1,6
ago-03;4;0,0
ago-03;5;0,0
ago-03;6;0,0
ago-03;7;0,0
ago-03;8;0,0
ago-03;9;0,0
ago-03;10;0,0
ago-03;11;0,0
ago-03;12;0,0
ago-03;13;0,0
ago-03;14;0,0
ago-03;15;0,0
ago-03;16;0,0
ago-03;17;0,0
ago-03;18;0,0
ago-03;19;0,0
ago-03;20;0,0
ago-03;21;0,0
ago-03;22;0,0
ago-03;23;0,0
ago-03;24;0,0
ago-03;25;0,0
ago-03;26;0,0
ago-03;27;0,0
ago-03;28;0,0
ago-03;29;0,0
ago-03;30;0,0
ago-03;31;0,0
set-03;1;0,0
set-03;2;0,0
set-03;3;0,0
set-03;4;8,2
set-03;5;0,0
set-03;6;0,8
set-03;7;0,0
set-03;8;3,6
set-03;9;0,0
set-03;10;1,0
set-03;11;0,0
set-03;12;2,2
set-03;13;20,0
set-03;14;79,2
set-03;15;39,8
set-03;16;1,2
set-03;17;209,2
set-03;18;0,0
set-03;19;11,6
set-03;20;0,2
set-03;21;0,0
set-03;22;0,0
set-03;23;0,0
set-03;24;0,0
set-03;25;1,4
set-03;26;29,4
set-03;27;0,6
set-03;28;12,0
set-03;29;0,2
set-03;30;0,0
ott-03;1;0,0
ott-03;2;0,0
ott-03;3;0,0
ott-03;4;0,0
ott-03;5;0,0
ott-03;6;0,0
ott-03;7;0,0
ott-03;8;0,0
ott-03;9;0,0
ott-03;10;0,0
ott-03;11;0,0
ott-03;12;0,0
ott-03;13;0,0
ott-03;14;0,0
ott-03;15;14,0
ott-03;16;5,2
ott-03;17;9,4
ott-03;18;11,0
ott-03;19;0,2
ott-03;20;0,0
ott-03;21;0,0
ott-03;22;0,0
ott-03;23;0,0
ott-03;24;17,6
ott-03;25;0,2
ott-03;26;0,0
ott-03;27;0,0
ott-03;28;0,2
ott-03;29;0,0
ott-03;30;1,6
ott-03;31;0,0
nov-03;1;4,0
nov-03;2;0,2
nov-03;3;0,0
nov-03;4;0,0
nov-03;5;0,0
nov-03;6;0,0
nov-03;7;0,0
nov-03;8;0,0
nov-03;9;0,0
nov-03;10;20,6
nov-03;11;5,4
nov-03;12;0,0
nov-03;13;115,6
nov-03;14;0,0
nov-03;15;9,2
nov-03;16;0,2
nov-03;17;0,4
nov-03;18;0,0
nov-03;19;0,0
nov-03;20;0,0
nov-03;21;69,0
nov-03;22;21,8
nov-03;23;0,0
nov-03;24;0,2
nov-03;25;4,8
nov-03;26;14,2
nov-03;27;0,0
nov-03;28;0,0
nov-03;29;0,0
nov-03;30;0,0
dic-03;1;0,0
dic-03;2;0,0
dic-03;3;0,0
dic-03;4;0,0
dic-03;5;0,2
dic-03;6;0,0
dic-03;7;0,4
dic-03;8;18,6
dic-03;9;0,0
dic-03;10;9,2
dic-03;11;6,8
dic-03;12;20,4
dic-03;13;1,0
dic-03;14;0,0
dic-03;15;0,0
dic-03;16;0,4
dic-03;17;0,0
dic-03;18;0,0
dic-03;19;0,0
dic-03;20;7,0
dic-03;21;0,0
dic-03;22;6,2
dic-03;23;1,2
dic-03;24;1,4
dic-03;25;1,6
dic-03;26;0,0
dic-03;27;0,0
dic-03;28;0,0
dic-03;29;3,6
dic-03;30;0,4
dic-03;31;0,8
gen-04;1;0,0
gen-04;2;1,2
gen-04;3;0,0
gen-04;4;0,2
gen-04;5;0,0
gen-04;6;0,2
gen-04;7;0,0
gen-04;8;0,0
gen-04;9;0,0
gen-04;10;0,0
gen-04;11;0,0
gen-04;12;0,0
gen-04;13;0,0
gen-04;14;0,0
gen-04;15;0,0
gen-04;16;0,0
gen-04;17;0,0
gen-04;18;0,0
gen-04;19;2,6
gen-04;20;0,0
gen-04;21;0,0
gen-04;22;0,0
gen-04;23;0,0
gen-04;24;0,0
gen-04;25;0,6
gen-04;26;0,0
gen-04;27;0,0
gen-04;28;0,0
gen-04;29;0,6
gen-04;30;3,2
gen-04;31;0,0
feb-04;1;0,0
feb-04;2;0,0
feb-04;3;0,0
feb-04;4;0,0
feb-04;5;0,0
feb-04;6;0,0
feb-04;7;0,0
feb-04;8;0,2
feb-04;9;0,0
feb-04;10;0,0
feb-04;11;0,4
feb-04;12;0,0
feb-04;13;0,0
feb-04;14;0,0
feb-04;15;0,0
feb-04;16;5,8
feb-04;17;2,2
feb-04;18;0,0
feb-04;19;0,0
feb-04;20;0,0
feb-04;21;0,0
feb-04;22;3,0
feb-04;23;0,0
feb-04;24;0,0
feb-04;25;0,0
feb-04;26;0,0
feb-04;27;0,0
feb-04;28;0,0
feb-04;29;0,0
mar-04;1;0,0
mar-04;2;1,4
mar-04;3;7,4
mar-04;4;0,0
mar-04;5;0,0
mar-04;6;6,6
mar-04;7;6,8
mar-04;8;0,0
mar-04;9;1,4
mar-04;10;0,0
mar-04;11;1,4
mar-04;12;0,0
mar-04;13;0,0
mar-04;14;0,0
mar-04;15;0,0
mar-04;16;0,0
mar-04;17;0,0
mar-04;18;0,0
mar-04;19;0,0
mar-04;20;0,0
mar-04;21;0,0
mar-04;22;0,0
mar-04;23;0,0
mar-04;24;0,0
mar-04;25;0,0
mar-04;26;0,4
mar-04;27;1,2
mar-04;28;0,6
mar-04;29;14,6
mar-04;30;0,2
mar-04;31;5,4
apr-04;1;24,2
apr-04;2;0,0
apr-04;3;0,0
apr-04;4;0,2
apr-04;5;0,0
apr-04;6;0,0
apr-04;7;0,0
apr-04;8;0,0
apr-04;9;0,0
apr-04;10;0,0
apr-04;11;0,0
apr-04;12;0,0
apr-04;13;0,0
apr-04;14;0,0
apr-04;15;0,0
apr-04;16;1,6
apr-04;17;0,0
apr-04;18;2,6
apr-04;19;0,0
apr-04;20;0,0
apr-04;21;0,0
apr-04;22;0,0
apr-04;23;0,4
apr-04;24;17,6
apr-04;25;12,2
apr-04;26;5,4
apr-04;27;1,6
apr-04;28;0,0
apr-04;29;0,4
apr-04;30;0,0
mag-04;1;0,0
mag-04;2;0,0
mag-04;3;2,8
mag-04;4;1,6
mag-04;5;0,0
mag-04;6;0,0
mag-04;7;0,0
mag-04;8;0,0
mag-04;9;0,0
mag-04;10;0,0
mag-04;11;0,0
mag-04;12;0,0
mag-04;13;0,0
mag-04;14;0,0
mag-04;15;0,0
mag-04;16;0,2
mag-04;17;0,0
mag-04;18;0,0
mag-04;19;0,0
mag-04;20;0,0
mag-04;21;0,0
mag-04;22;0,0
mag-04;23;0,0
mag-04;24;0,2
mag-04;25;0,0
mag-04;26;0,0
mag-04;27;0,0
mag-04;28;0,0
mag-04;29;0,0
mag-04;30;0,0
mag-04;31;0,0
giu-04;1;0,0
giu-04;2;0,0
giu-04;3;0,0
giu-04;4;0,0
giu-04;5;0,0
giu-04;6;0,0
giu-04;7;0,0
giu-04;8;0,0
giu-04;9;0,0
giu-04;10;0,0
giu-04;11;0,0
giu-04;12;0,0
giu-04;13;0,0
giu-04;14;0,0
giu-04;15;0,0
giu-04;16;0,0
giu-04;17;1,4
giu-04;18;0,0
giu-04;19;0,0
giu-04;20;0,0
giu-04;21;0,0
giu-04;22;0,0
giu-04;23;0,0
giu-04;24;0,0
giu-04;25;0,0
giu-04;26;0,0
giu-04;27;0,0
giu-04;28;0,0
giu-04;29;0,0
giu-04;30;0,0
lug-04;1;0,0
lug-04;2;0,0
lug-04;3;0,0
lug-04;4;0,0
lug-04;5;0,0
lug-04;6;0,0
lug-04;7;0,0
lug-04;8;0,0
lug-04;9;0,0
lug-04;10;0,0
lug-04;11;0,0
lug-04;12;0,0
lug-04;13;0,0
lug-04;14;11,0
lug-04;15;0,0
lug-04;16;0,0
lug-04;17;0,0
lug-04;18;0,0
lug-04;19;0,0
lug-04;20;0,0
lug-04;21;0,0
lug-04;22;0,0
lug-04;23;0,0
lug-04;24;0,0
lug-04;25;0,0
lug-04;26;0,0
lug-04;27;0,0
lug-04;28;0,0
lug-04;29;9,6
lug-04;30;0,0
lug-04;31;0,0
ago-04;1;0,0
ago-04;2;0,0
ago-04;3;0,0
ago-04;4;0,0
ago-04;5;0,0
ago-04;6;0,0
ago-04;7;0,0
ago-04;8;0,0
ago-04;9;0,0
ago-04;10;0,0
ago-04;11;0,0
ago-04;12;0,0
ago-04;13;0,0
ago-04;14;0,0
ago-04;15;0,0
ago-04;16;0,0
ago-04;17;0,0
ago-04;18;0,0
ago-04;19;0,0
ago-04;20;0,0
ago-04;21;0,0
ago-04;22;0,0
ago-04;23;0,0
ago-04;24;0,0
ago-04;25;0,0
ago-04;26;0,0
ago-04;27;0,0
ago-04;28;0,0
ago-04;29;0,0
ago-04;30;0,0
ago-04;31;0,0
set-04;1;0,0
set-04;2;0,0
set-04;3;0,0
set-04;4;0,0
set-04;5;0,0
set-04;6;6,4
set-04;7;0,0
set-04;8;0,0
set-04;9;0,0
set-04;10;0,0
set-04;11;0,0
set-04;12;0,0
set-04;13;0,0
set-04;14;0,0
set-04;15;0,0
set-04;16;0,0
set-04;17;0,0
set-04;18;
set-04;19;23,4
set-04;20;14,2
set-04;21;0,0
set-04;22;0,0
set-04;23;0,0
set-04;24;0,0
set-04;25;0,2
set-04;26;0,0
set-04;27;0,0
set-04;28;0,6
set-04;29;0,0
set-04;30;0,0
ott-04;1;0,0
ott-04;2;0,0
ott-04;3;0,0
ott-04;4;0,0
ott-04;5;0,0
ott-04;6;0,0
ott-04;7;0,0
ott-04;8;0,0
ott-04;9;0,0
ott-04;10;0,0
ott-04;11;0,0
ott-04;12;0,0
ott-04;13;4,6
ott-04;14;0,0
ott-04;15;0,2
ott-04;16;4,8
ott-04;17;0,0
ott-04;18;0,0
ott-04;19;0,0
ott-04;20;0,0
ott-04;21;0,0
ott-04;22;0,0
ott-04;23;0,0
ott-04;24;0,0
ott-04;25;0,0
ott-04;26;0,0
ott-04;27;3,6
ott-04;28;0,0
ott-04;29;0,0
ott-04;30;0,0
ott-04;31;0,0
nov-04;1;0,0
nov-04;2;0,2
nov-04;3;43,4
nov-04;4;12,2
nov-04;5;0,4
nov-04;6;0,0
nov-04;7;0,0
nov-04;8;0,0
nov-04;9;0,0
nov-04;10;0,0
nov-04;11;16,6
nov-04;12;25,4
nov-04;13;1,0
nov-04;14;12,6
nov-04;15;0,0
nov-04;16;0,0
nov-04;17;0,0
nov-04;18;0,0
nov-04;19;0,0
nov-04;20;29,2
nov-04;21;0,2
nov-04;22;0,0
nov-04;23;1,0
nov-04;24;1,8
nov-04;25;2,4
nov-04;26;0,0
nov-04;27;0,0
nov-04;28;0,0
nov-04;29;0,2
nov-04;30;0,0
dic-04;1;0,0
dic-04;2;0,0
dic-04;3;0,0
dic-04;4;0,0
dic-04;5;0,0
dic-04;6;0,0
dic-04;7;2,6
dic-04;8;0,0
dic-04;9;3,0
dic-04;10;2,2
dic-04;11;26,8
dic-04;12;33,2
dic-04;13;58,4
dic-04;14;0,0
dic-04;15;0,0
dic-04;16;7,8
dic-04;17;24,2
dic-04;18;0,2
dic-04;19;0,2
dic-04;20;0,0
dic-04;21;34,4
dic-04;22;1,0
dic-04;23;0,0
dic-04;24;0,0
dic-04;25;0,2
dic-04;26;18,0
dic-04;27;4,0
dic-04;28;1,4
dic-04;29;1,8
dic-04;30;5,8
dic-04;31;16,6
gen-05;1;0,2
gen-05;2;0,0
gen-05;3;0,6
gen-05;4;0,4
gen-05;5;0,0
gen-05;6;0,0
gen-05;7;0,0
gen-05;8;0,0
gen-05;9;0,0
gen-05;10;0,0
gen-05;11;0,0
gen-05;12;0,0
gen-05;13;0,0
gen-05;14;0,0
gen-05;15;0,0
gen-05;16;0,0
gen-05;17;0,0
gen-05;18;0,0
gen-05;19;0,8
gen-05;20;0,8
gen-05;21;0,0
gen-05;22;0,0
gen-05;23;10,0
gen-05;24;0,0
gen-05;25;4,0
gen-05;26;1,6
gen-05;27;1,6
gen-05;28;0,0
gen-05;29;1,4
gen-05;30;0,8
gen-05;31;0,0
feb-05;1;0,0
feb-05;2;13,6
feb-05;3;0,0
feb-05;4;0,0
feb-05;5;0,0
feb-05;6;0,0
feb-05;7;4,2
feb-05;8;2,0
feb-05;9;23,0
feb-05;10;9,8
feb-05;11;0,0
feb-05;12;0,0
feb-05;13;0,0
feb-05;14;0,8
feb-05;15;0,8
feb-05;16;0,0
feb-05;17;0,0
feb-05;18;0,0
feb-05;19;0,0
feb-05;20;1,6
feb-05;21;0,8
feb-05;22;0,0
feb-05;23;0,0
feb-05;24;0,0
feb-05;25;0,0
feb-05;26;0,0
feb-05;27;0,0
feb-05;28;4,2
mar-05;1;18,4
mar-05;2;5,2
mar-05;3;0,2
mar-05;4;0,0
mar-05;5;0,0
mar-05;6;0,0
mar-05;7;0,0
mar-05;8;0,6
mar-05;9;0,0
mar-05;10;0,0
mar-05;11;0,0
mar-05;12;2,4
mar-05;13;0,2
mar-05;14;0,0
mar-05;15;0,0
mar-05;16;0,0
mar-05;17;0,0
mar-05;18;0,0
mar-05;19;0,0
mar-05;20;0,0
mar-05;21;0,0
mar-05;22;0,0
mar-05;23;0,0
mar-05;24;0,0
mar-05;25;0,0
mar-05;26;0,0
mar-05;27;0,0
mar-05;28;0,0
mar-05;29;0,0
mar-05;30;0,0
mar-05;31;0,0
apr-05;1;0,2
apr-05;2;4,4
apr-05;3;8,8
apr-05;4;18,4
apr-05;5;12,6
apr-05;6;2,0
apr-05;7;0,0
apr-05;8;0,0
apr-05;9;0,0
apr-05;10;0,0
apr-05;11;1,0
apr-05;12;1,8
apr-05;13;3,6
apr-05;14;0,0
apr-05;15;0,0
apr-05;16;0,0
apr-05;17;0,0
apr-05;18;0,0
apr-05;19;0,0
apr-05;20;0,2
apr-05;21;0,0
apr-05;22;0,0
apr-05;23;0,0
apr-05;24;0,0
apr-05;25;0,0
apr-05;26;0,0
apr-05;27;0,0
apr-05;28;0,0
apr-05;29;0,0
apr-05;30;0,0
mag-05;1;0,0
mag-05;2;0,0
mag-05;3;0,0
mag-05;4;0,0
mag-05;5;0,0
mag-05;6;5,8
mag-05;7;0,0
mag-05;8;0,0
mag-05;9;0,0
mag-05;10;0,0
mag-05;11;0,0
mag-05;12;0,0
mag-05;13;0,6
mag-05;14;0,0
mag-05;15;0,0
mag-05;16;0,0
mag-05;17;0,0
mag-05;18;0,0
mag-05;19;0,0
mag-05;20;0,0
mag-05;21;0,0
mag-05;22;0,0
mag-05;23;0,0
mag-05;24;0,4
mag-05;25;0,0
mag-05;26;0,0
mag-05;27;0,0
mag-05;28;0,0
mag-05;29;0,0
mag-05;30;0,0
mag-05;31;0,0
giu-05;1;0,0
giu-05;2;0,0
giu-05;3;0,0
giu-05;4;0,0
giu-05;5;0,0
giu-05;6;0,0
giu-05;7;0,0
giu-05;8;0,0
giu-05;9;13,4
giu-05;10;6,6
giu-05;11;0,0
giu-05;12;0,0
giu-05;13;0,0
giu-05;14;0,0
giu-05;15;0,0
giu-05;16;0,0
giu-05;17;0,0
giu-05;18;0,0
giu-05;19;0,0
giu-05;20;2,2
giu-05;21;0,0
giu-05;22;0,0
giu-05;23;0,0
giu-05;24;0,0
giu-05;25;0,0
giu-05;26;0,0
giu-05;27;0,0
giu-05;28;0,0
giu-05;29;0,0
giu-05;30;0,0
lug-05;1;0,0
lug-05;2;0,0
